username,postsCount,followersCount,followsCount,private,verified
madhu.9872,61,176,601,1,0
geroi586tttggg,0,0,1,0,0
santivarla,20,98,1001,1,0
shamalashree.queen,0,0,595,1,0
dilsedhanush6,0,4,86,1,0
aambikafasion,0,376,6584,1,0
sujata_14351,1,114,1527,1,0
karuz_kaaru,0,14,777,0,0
bheemla84,0,0,3151,1,0
baby_11357,0,0,695,1,0
viraj.mehta_9,0,1,1630,1,0
moh99999415,0,85,5868,0,0
bankutty_1995,0,14,1374,0,0
venkatasubramanian143,0,15,1246,0,0
anonymous_69love,0,25,1588,1,0
pryt3546,0,28,4887,1,0
liyahashi,0,21,1602,1,0
bitch1235677_,0,1,171,1,0
actress143cr,0,6,137,0,0
alihasankhan2244hfdhtut,74,283,5866,0,0
